
Generating: '/home/rossi/Desktop/GitHub/projeto_grc/gr-mack_sdr_rossi/examples/top_block.py'

Executing: /usr/bin/python2 -u /home/rossi/Desktop/GitHub/projeto_grc/gr-mack_sdr_rossi/examples/top_block.py

i = 585, real = 68, imag = 153
i = 586, real = 52, imag = 169
i = 587, real = 68, imag = 169
i = 588, real = 60, imag = 185
i = 589, real = 76, imag = 185
i = 590, real = 60, imag = 201
i = 591, real = 76, imag = 201
i = 592, real = 72, imag = 161
i = 593, real = 88, imag = 161
i = 594, real = 72, imag = 177
i = 595, real = 88, imag = 177
i = 596, real = 80, imag = 193
i = 597, real = 96, imag = 193
i = 598, real = 80, imag = 209
i = 599, real = 96, imag = 209
i = 600, real = 88, imag = 169
i = 601, real = 104, imag = 169
i = 602, real = 88, imag = 185
i = 603, real = 104, imag = 185
i = 604, real = 96, imag = 201
i = 605, real = 112, imag = 201
i = 606, real = 96, imag = 217
i = 607, real = 112, imag = 217
i = 608, real = 44, imag = 181
i = 609, real = 60, imag = 181
i = 610, real = 44, imag = 197
i = 611, real = 60, imag = 197
i = 612, real = 52, imag = 213
i = 613, real = 68, imag = 213
i = 614, real = 52, imag = 229
i = 615, real = 68, imag = 229
i = 616, real = 60, imag = 189
i = 617, real = 76, imag = 189
i = 618, real = 60, imag = 205
i = 619, real = 76, imag = 205
i = 620, real = 68, imag = 221
i = 621, real = 84, imag = 221
i = 622, real = 68, imag = 237
i = 623, real = 84, imag = 237
i = 624, real = 80, imag = 197
i = 625, real = 96, imag = 197
i = 626, real = 80, imag = 213
i = 627, real = 96, imag = 213
i = 628, real = 88, imag = 229
i = 629, real = 104, imag = 229
i = 630, real = 88, imag = 245
i = 631, real = 104, imag = 245
i = 632, real = 96, imag = 205
i = 633, real = 112, imag = 205
i = 634, real = 96, imag = 221
i = 635, real = 112, imag = 221
i = 636, real = 104, imag = 237
i = 637, real = 120, imag = 237
i = 638, real = 104, imag = 253
i = 639, real = 120, imag = 253
i = 640, real = 54, imag = 91
i = 641, real = 70, imag = 91
i = 642, real = 54, imag = 107
i = 643, real = 70, imag = 107
i = 644, real = 62, imag = 123
i = 645, real = 78, imag = 123
i = 646, real = 62, imag = 139
i = 647, real = 78, imag = 139
i = 648, real = 70, imag = 99
i = 649, real = 86, imag = 99
i = 650, real = 70, imag = 115
i = 651, real = 86, imag = 115
i = 652, real = 78, imag = 131
i = 653, real = 94, imag = 131
i = 654, real = 78, imag = 147
i = 655, real = 94, imag = 147
i = 656, real = 90, imag = 107
i = 657, real = 106, imag = 107
i = 658, real = 90, imag = 123
i = 659, real = 106, imag = 123
i = 660, real = 98, imag = 139
i = 661, real = 114, imag = 139
i = 662, real = 98, imag = 155
i = 663, real = 114, imag = 155
i = 664, real = 106, imag = 115
i = 665, real = 122, imag = 115
i = 666, real = 106, imag = 131
i = 667, real = 122, imag = 131
i = 668, real = 114, imag = 147
i = 669, real = 130, imag = 147
i = 670, real = 114, imag = 163
i = 671, real = 130, imag = 163
i = 672, real = 62, imag = 127
i = 673, real = 78, imag = 127
i = 674, real = 62, imag = 143
i = 675, real = 78, imag = 143
i = 676, real = 70, imag = 159
i = 677, real = 86, imag = 159
i = 678, real = 70, imag = 175
i = 679, real = 86, imag = 175
i = 680, real = 78, imag = 135
i = 681, real = 94, imag = 135
i = 682, real = 78, imag = 151
i = 683, real = 94, imag = 151
i = 684, real = 86, imag = 167
i = 685, real = 102, imag = 167
i = 686, real = 86, imag = 183
i = 687, real = 102, imag = 183
i = 688, real = 98, imag = 143
i = 689, real = 114, imag = 143
i = 690, real = 98, imag = 159
i = 691, real = 114, imag = 159
i = 692, real = 106, imag = 175
i = 693, real = 122, imag = 175
i = 694, real = 106, imag = 191
i = 695, real = 122, imag = 191
i = 696, real = 114, imag = 151
i = 697, real = 130, imag = 151
i = 698, real = 114, imag = 167
i = 699, real = 130, imag = 167
i = 700, real = 122, imag = 183
i = 701, real = 138, imag = 183
i = 702, real = 122, imag = 199
i = 703, real = 138, imag = 199
i = 704, real = 72, imag = 163
i = 705, real = 88, imag = 163
i = 706, real = 72, imag = 179
i = 707, real = 88, imag = 179
i = 708, real = 80, imag = 195
i = 709, real = 96, imag = 195
i = 710, real = 80, imag = 211
i = 711, real = 96, imag = 211
i = 712, real = 88, imag = 171
i = 713, real = 104, imag = 171
i = 714, real = 88, imag = 187
i = 715, real = 104, imag = 187
i = 716, real = 96, imag = 203
i = 717, real = 112, imag = 203
i = 718, real = 96, imag = 219
i = 719, real = 112, imag = 219
i = 720, real = 108, imag = 179
i = 721, real = 124, imag = 179
i = 722, real = 108, imag = 195
i = 723, real = 124, imag = 195
i = 724, real = 116, imag = 211
i = 725, real = 132, imag = 211
i = 726, real = 116, imag = 227
i = 727, real = 132, imag = 227
i = 728, real = 124, imag = 187
i = 729, real = 140, imag = 187
i = 730, real = 124, imag = 203
i = 731, real = 140, imag = 203
i = 732, real = 132, imag = 219
i = 733, real = 148, imag = 219
i = 734, real = 132, imag = 235
i = 735, real = 148, imag = 235
i = 736, real = 80, imag = 199
i = 737, real = 96, imag = 199
i = 738, real = 80, imag = 215
i = 739, real = 96, imag = 215
i = 740, real = 88, imag = 231
i = 741, real = 104, imag = 231
i = 742, real = 88, imag = 247
i = 743, real = 104, imag = 247
i = 744, real = 96, imag = 207
i = 745, real = 112, imag = 207
i = 746, real = 96, imag = 223
i = 747, real = 112, imag = 223
i = 748, real = 104, imag = 239
i = 749, real = 120, imag = 239
i = 750, real = 104, imag = 255
i = 751, real = 120, imag = 255
i = 752, real = 116, imag = 215
i = 753, real = 132, imag = 215
i = 754, real = 116, imag = 231
i = 755, real = 132, imag = 231
i = 756, real = 124, imag = 247
i = 757, real = 140, imag = 247
i = 758, real = 124, imag = 263
i = 759, real = 140, imag = 263
i = 760, real = 132, imag = 223
i = 761, real = 148, imag = 223
i = 762, real = 132, imag = 239
i = 763, real = 148, imag = 239
i = 764, real = 140, imag = 255
i = 765, real = 156, imag = 255
i = 766, real = 140, imag = 271
i = 767, real = 156, imag = 271
i = 768, real = 91, imag = 109
i = 769, real = 107, imag = 109
i = 770, real = 91, imag = 125
i = 771, real = 107, imag = 125
i = 772, real = 99, imag = 141
i = 773, real = 115, imag = 141
i = 774, real = 99, imag = 157
i = 775, real = 115, imag = 157
i = 776, real = 107, imag = 117
i = 777, real = 123, imag = 117
i = 778, real = 107, imag = 133
i = 779, real = 123, imag = 133
i = 780, real = 115, imag = 149
i = 781, real = 131, imag = 149
i = 782, real = 115, imag = 165
i = 783, real = 131, imag = 165
i = 784, real = 127, imag = 125
i = 785, real = 143, imag = 125
i = 786, real = 127, imag = 141
i = 787, real = 143, imag = 141
i = 788, real = 135, imag = 157
i = 789, real = 151, imag = 157
i = 790, real = 135, imag = 173
i = 791, real = 151, imag = 173
i = 792, real = 143, imag = 133
i = 793, real = 159, imag = 133
i = 794, real = 143, imag = 149
i = 795, real = 159, imag = 149
i = 796, real = 151, imag = 165
i = 797, real = 167, imag = 165
i = 798, real = 151, imag = 181
i = 799, real = 167, imag = 181
i = 800, real = 99, imag = 145
i = 801, real = 115, imag = 145
i = 802, real = 99, imag = 161
i = 803, real = 115, imag = 161
i = 804, real = 107, imag = 177
i = 805, real = 123, imag = 177
i = 806, real = 107, imag = 193
i = 807, real = 123, imag = 193
i = 808, real = 115, imag = 153
i = 809, real = 131, imag = 153
i = 810, real = 115, imag = 169
i = 811, real = 131, imag = 169
i = 812, real = 123, imag = 185
i = 813, real = 139, imag = 185
i = 814, real = 123, imag = 201
i = 815, real = 139, imag = 201
i = 816, real = 135, imag = 161
i = 817, real = 151, imag = 161
i = 818, real = 135, imag = 177
i = 819, real = 151, imag = 177
i = 820, real = 143, imag = 193
i = 821, real = 159, imag = 193
i = 822, real = 143, imag = 209
i = 823, real = 159, imag = 209
i = 824, real = 151, imag = 169
i = 825, real = 167, imag = 169
i = 826, real = 151, imag = 185
i = 827, real = 167, imag = 185
i = 828, real = 159, imag = 201
i = 829, real = 175, imag = 201
i = 830, real = 159, imag = 217
i = 831, real = 175, imag = 217
i = 832, real = 109, imag = 181
i = 833, real = 125, imag = 181
i = 834, real = 109, imag = 197
i = 835, real = 125, imag = 197
i = 836, real = 117, imag = 213
i = 837, real = 133, imag = 213
